stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
304,19,"17TH + MARSHALL",,37.536748,-77.425495,,,,,,0
307,1614,"MAIN + 17TH",,37.533863,-77.429037,,,,,,0
309,1608,"MAIN + 13TH",,37.536260,-77.432866,,,,,,0
310,1607,"MAIN + 11TH",,37.537213,-77.434363,,,,,,0
311,1606,"MAIN + 9TH",,37.538202,-77.436136,,,,,,0
312,1631,"MAIN + 8TH",,37.538738,-77.437021,,,,,,0
313,167,"7TH + FRANKLIN",,37.540019,-77.437346,,,,,,0
331,616,"CARY + BELMONT",,37.552827,-77.480022,,,,,,0
332,650,"CARY + SHEPPARD",,37.552382,-77.478512,,,,,,0
333,619,"CARY + BOULEVARD",,37.551618,-77.476405,,,,,,0
350,610,"CARY + 3RD",,37.540618,-77.442692,,,,,,0
354,1617,"MAIN + 18TH",,37.532727,-77.427473,,,,,,0
356,1621,"MAIN + 21ST",,37.531082,-77.424763,,,,,,0
362,1677,"MARSHALL + CHIMBORAZO BOULEVARD",,37.527013,-77.409102,,,,,,0
398,1627,"MAIN + 25TH",,37.529325,-77.421505,,,,,,0
400,1622,"MAIN + 21ST",,37.531282,-77.424708,,,,,,0
402,1616,"MAIN + 18TH",,37.532809,-77.427335,,,,,,0
405,157,"5TH + MAIN",,37.540595,-77.439752,,,,,,0
422,1647,"MAIN + ROBINSON",,37.552209,-77.473115,,,,,,0
423,1636,"MAIN + BOULEVARD",,37.552683,-77.475383,,,,,,0
425,865,"ELLWOOD + SHEPPARD",,37.553585,-77.478065,,,,,,0
426,860,"ELLWOOD + BELMONT",,37.554205,-77.479667,,,,,,0
428,863,"ELLWOOD + DOOLEY",,37.555382,-77.483002,,,,,,0
453,584,"CAMPUS + BOSTWICK LANE",,37.579097,-77.532722,,,,,,0
455,587,"CAMPUS + ROSELAWN",,37.578339,-77.528091,,,,,,0
456,589,"CAMPUS + THREE CHOPT",,37.577047,-77.526482,,,,,,0
459,1141,"GROVE + THREE CHOPT",,37.572733,-77.523047,,,,,,0
464,1130,"GROVE + SENECA",,37.572627,-77.514800,,,,,,0
466,1144,"GROVE + TUCKAHOE",,37.571372,-77.512295,,,,,,0
468,1125,"GROVE + ROSLYN",,37.570195,-77.509714,,,,,,0
470,1101,"GROVE + LEXINGTON",,37.568777,-77.506732,,,,,,0
473,1147,"GROVE + WEST LOCKE LANE",,37.566880,-77.502758,,,,,,0
476,1148,"GROVE + WESTMORELAND",,37.565502,-77.499882,,,,,,0
477,1087,"GROVE + COMMONWEALTH",,37.564692,-77.498172,,,,,,0
480,1078,"GROVE + ANTRIM",,37.563274,-77.495210,,,,,,0
481,1108,"GROVE + MALVERN",,37.562053,-77.492665,,,,,,0
483,1095,"GROVE + HAMILTON",,37.560737,-77.489820,,,,,,0
484,1139,"GROVE + THOMPSON",,37.559485,-77.487197,,,,,,0
485,1116,"GROVE + NANSEMOND",,37.558460,-77.484343,,,,,,0
487,1080,"GROVE + AUBURN",,37.557213,-77.480823,,,,,,0
